observation_date,CSCICP03USM665S
2000-01-01,102.79630
2000-02-01,102.84890
2000-03-01,102.76850
2000-04-01,102.75010
2000-05-01,102.72490
2000-06-01,102.62670
2000-07-01,102.59350
2000-08-01,102.55890
2000-09-01,102.50940
2000-10-01,102.40110
2000-11-01,102.15040
2000-12-01,101.62400
2001-01-01,101.10240
2001-02-01,100.72130
2001-03-01,100.55670
2001-04-01,100.52380
2001-05-01,100.64630
2001-06-01,100.72510
2001-07-01,100.63930
2001-08-01,100.33870
2001-09-01,99.90548
2001-10-01,99.74929
2001-11-01,99.89661
2001-12-01,100.25310
2002-01-01,100.59780
2002-02-01,100.80440
2002-03-01,100.99110
2002-04-01,101.04370
2002-05-01,101.01770
2002-06-01,100.76770
2002-07-01,100.43300
2002-08-01,100.15720
2002-09-01,99.91587
2002-10-01,99.73370
2002-11-01,99.74871
2002-12-01,99.74618
2003-01-01,99.56802
2003-02-01,99.41000
2003-03-01,99.49301
2003-04-01,99.92635
2003-05-01,100.35360
2003-06-01,100.50950
2003-07-01,100.51170
2003-08-01,100.42250
2003-09-01,100.38710
2003-10-01,100.53510
2003-11-01,100.82700
2003-12-01,101.12970
2004-01-01,101.40880
2004-02-01,101.29530
2004-03-01,101.12770
2004-04-01,100.95680
2004-05-01,100.87850
2004-06-01,101.01620
2004-07-01,101.12750
2004-08-01,101.10280
2004-09-01,100.98410
2004-10-01,100.89500
2004-11-01,100.95910
2004-12-01,101.09470
2005-01-01,101.08000
2005-02-01,100.92460
2005-03-01,100.69530
2005-04-01,100.50710
2005-05-01,100.57500
2005-06-01,100.82490
2005-07-01,100.73140
2005-08-01,100.14070
2005-09-01,99.42278
2005-10-01,99.18978
2005-11-01,99.57593
2005-12-01,100.15210
2006-01-01,100.41210
2006-02-01,100.36350
2006-03-01,100.23230
2006-04-01,99.98100
2006-05-01,99.69939
2006-06-01,99.67864
2006-07-01,99.71475
2006-08-01,99.81288
2006-09-01,100.12770
2006-10-01,100.54710
2006-11-01,100.77770
2006-12-01,100.89300
2007-01-01,100.92490
2007-02-01,100.70220
2007-03-01,100.43080
2007-04-01,100.25700
2007-05-01,100.19680
2007-06-01,100.15620
2007-07-01,100.13310
2007-08-01,99.90429
2007-09-01,99.64957
2007-10-01,99.35554
2007-11-01,99.07018
2007-12-01,98.90230
2008-01-01,98.74091
2008-02-01,98.35253
2008-03-01,97.88428
2008-04-01,97.35648
2008-05-01,96.97754
2008-06-01,96.85837
2008-07-01,97.06129
2008-08-01,97.31839
2008-09-01,97.39437
2008-10-01,97.04175
2008-11-01,96.78537
2008-12-01,96.77791
2009-01-01,96.78511
2009-02-01,96.75910
2009-03-01,96.96084
2009-04-01,97.40855
2009-05-01,97.79377
2009-06-01,97.95326
2009-07-01,97.90809
2009-08-01,97.95174
2009-09-01,98.12940
2009-10-01,98.15902
2009-11-01,98.17303
2009-12-01,98.34699
2010-01-01,98.50824
2010-02-01,98.56321
2010-03-01,98.56012
2010-04-01,98.53974
2010-05-01,98.53848
2010-06-01,98.44367
2010-07-01,98.15993
2010-08-01,97.98689
2010-09-01,97.93621
2010-10-01,98.03440
2010-11-01,98.29088
2010-12-01,98.54091
2011-01-01,98.64883
2011-02-01,98.59994
2011-03-01,98.35714
2011-04-01,98.29892
2011-05-01,98.28327
2011-06-01,97.97703
2011-07-01,97.40202
2011-08-01,96.91122
2011-09-01,96.84426
2011-10-01,97.07516
2011-11-01,97.51543
2011-12-01,98.06004
2012-01-01,98.52432
2012-02-01,98.78316
2012-03-01,98.90790
2012-04-01,98.94286
2012-05-01,98.88670
2012-06-01,98.68109
2012-07-01,98.60864
2012-08-01,98.77948
2012-09-01,99.09757
2012-10-01,99.32568
2012-11-01,99.23881
2012-12-01,98.90295
2013-01-01,98.77381
2013-02-01,98.87740
2013-03-01,99.04517
2013-04-01,99.25853
2013-05-01,99.59885
2013-06-01,99.77480
2013-07-01,99.73689
2013-08-01,99.45435
2013-09-01,99.07097
2013-10-01,98.83395
2013-11-01,98.93504
2013-12-01,99.24061
2014-01-01,99.41454
2014-02-01,99.48507
2014-03-01,99.51752
2014-04-01,99.59100
2014-05-01,99.57730
2014-06-01,99.55072
2014-07-01,99.54248
2014-08-01,99.63799
2014-09-01,99.84365
2014-10-01,100.13280
2014-11-01,100.48750
2014-12-01,100.88090
2015-01-01,101.14590
2015-02-01,101.14820
2015-03-01,101.05140
2015-04-01,100.99650
2015-05-01,100.91590
2015-06-01,100.93000
2015-07-01,100.81500
2015-08-01,100.62500
2015-09-01,100.45380
2015-10-01,100.48310
2015-11-01,100.59990
2015-12-01,100.69730
2016-01-01,100.71040
2016-02-01,100.67300
2016-03-01,100.63300
2016-04-01,100.65510
2016-05-01,100.77780
2016-06-01,100.75570
2016-07-01,100.60870
2016-08-01,100.50240
2016-09-01,100.48320
2016-10-01,100.56030
2016-11-01,100.89040
2016-12-01,101.22880
2017-01-01,101.37740
2017-02-01,101.36500
2017-03-01,101.33440
2017-04-01,101.29470
2017-05-01,101.22330
2017-06-01,101.11720
2017-07-01,101.07610
2017-08-01,101.17280
2017-09-01,101.29390
2017-10-01,101.44390
2017-11-01,101.42380
2017-12-01,101.34100
2018-01-01,101.37040
2018-02-01,101.53020
2018-03-01,101.62950
2018-04-01,101.57960
2018-05-01,101.49530
2018-06-01,101.43840
2018-07-01,101.40750
2018-08-01,101.41860
2018-09-01,101.50030
2018-10-01,101.48280
2018-11-01,101.37580
2018-12-01,101.20880
2019-01-01,101.00890
2019-02-01,101.06190
2019-03-01,101.27530
2019-04-01,101.43180
2019-05-01,101.51780
2019-06-01,101.42600
2019-07-01,101.19910
2019-08-01,100.90930
2019-09-01,100.90920
2019-10-01,101.10780
2019-11-01,101.37070
2019-12-01,101.59370
2020-01-01,101.59210
2020-02-01,101.17320
2020-03-01,100.19660
2020-04-01,99.13439
2020-05-01,98.64510
2020-06-01,98.59637
2020-07-01,98.61330
2020-08-01,98.81078
2020-09-01,99.11648
2020-10-01,99.26201
2020-11-01,99.21984
2020-12-01,99.22284
2021-01-01,99.22880
2021-02-01,99.36539
2021-03-01,99.72382
2021-04-01,99.96289
2021-05-01,99.90543
2021-06-01,99.70004
2021-07-01,99.24198
2021-08-01,98.68501
2021-09-01,98.39260
2021-10-01,98.20995
2021-11-01,98.05109
2021-12-01,97.95181
2022-01-01,97.72173
2022-02-01,97.42072
2022-03-01,97.18818
2022-04-01,97.02539
2022-05-01,96.62722
2022-06-01,96.22865
2022-07-01,96.20132
2022-08-01,96.46188
2022-09-01,96.67612
2022-10-01,96.78831
2022-11-01,96.85400
2022-12-01,97.06937
2023-01-01,97.35186
2023-02-01,97.46672
2023-03-01,97.35742
2023-04-01,97.26667
2023-05-01,97.26800
2023-06-01,97.55695
2023-07-01,97.89566
2023-08-01,97.93700
2023-09-01,97.74630
2023-10-01,97.51254
2023-11-01,97.56221
2023-12-01,98.10970
2024-01-01,98.91297
